#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      13     03  7.9    978.0    1005.2    0.0    0.0    70.6    4.7    210.7    25  32  7   7   13  13  8   6   101 376 66  15  15  26  11  0   
2023     01      13     04  7.6    977.8    1005.0    0.0    0.0    72.0    5.2    212.1    15  28  11  3   12  9   11  5   100 412 58  6   11  20  20  0   
2023     01      13     05  7.3    977.9    1005.1    0.0    0.0    72.5    4.6    214.3    24  29  10  15  9   8   9   6   113 361 65  11  15  34  12  0   
2023     01      13     06  7.4    977.9    1005.1    0.0    0.0    73.0    5.2    214.7    24  20  9   10  14  14  15  4   109 359 68  14  14  30  16  0   
2023     01      13     07  7.3    978.3    1005.5    0.0    0.0    72.6    5.1    206.8    32  26  17  18  13  19  10  8   131 333 50  8   14  29  13  0   
2023     01      13     08  6.8    978.8    1006.0    0.0    0.0    75.5    5.1    211.4    25  34  10  6   13  14  13  9   108 372 54  9   14  25  15  0   
2023     01      13     09  7.3    979.3    1006.5    0.0    0.0    70.5    6.7    211.7    21  27  10  13  9   8   12  7   112 387 45  14  13  26  17  0   
2023     01      13     10  7.7    979.8    1007.0    0.0    0.0    68.3    5.9    202.8    35  28  24  20  28  10  12  7   106 330 46  17  18  23  16  0   
2023     01      13     11  8.1    979.8    1007.0    0.0    0.0    66.5    6.5    199.4    30  35  18  17  24  16  13  6   123 340 43  9   9   24  14  0   
2023     01      13     12  8.1    980.2    1007.5    0.0    0.0    65.7    6.4    190.6    27  38  35  45  41  23  12  8   123 275 28  7   11  27  21  0   
2023     01      13     13  8.1    980.6    1007.9    0.0    0.0    67.4    6.6    206.7    25  33  13  14  12  25  19  7   121 346 40  7   9   39  11  0   
2023     01      13     14  7.4    981.5    1008.8    0.7    0.7    74.9    5.4    204.6    36  33  17  24  20  28  15  10  140 285 34  10  11  34  24  0   
2023     01      13     15  7.5    982.3    1009.6    0.1    0.1    74.4    5.7    201.9    30  27  20  18  14  18  19  12  141 335 26  9   11  24  16  0   
2023     01      13     16  7.2    983.3    1010.6    0.5    0.5    77.1    5.0    197.5    31  35  28  26  20  20  12  14  155 279 37  11  13  20  20  0   
2023     01      13     17  7.6    984.1    1011.5    0.2    0.1    72.6    5.2    200.6    17  36  15  21  20  20  15  15  158 317 28  9   10  33  7   0   
2023     01      13     18  7.8    985.1    1012.5    0.0    0.0    69.8    4.8    195.7    23  46  17  30  29  27  19  13  150 261 35  6   12  39  14  0   
2023     01      13     19  7.8    985.8    1013.2    0.0    0.0    69.0    5.1    194.2    35  41  27  34  33  24  17  9   122 270 28  5   18  39  19  0   
2023     01      13     20  7.8    986.3    1013.7    0.0    0.0    68.9    5.5    195.2    24  42  26  36  21  24  12  13  134 298 25  13  9   23  20  0   
2023     01      13     21  7.8    986.9    1014.3    0.0    0.0    70.9    5.4    191.3    34  47  20  38  33  19  24  8   138 260 33  4   18  28  17  0   
2023     01      13     22  7.7    987.4    1014.9    0.0    0.0    71.1    5.6    194.5    25  36  32  50  25  18  13  9   120 302 34  7   9   22  19  0   
2023     01      13     23  7.5    987.9    1015.4    0.0    0.0    71.3    5.1    199.4    32  41  13  24  23  14  4   10  130 323 46  10  9   31  11  0   
2023     01      14     00  7.1    988.2    1015.7    0.0    0.0    72.4    4.9    209.0    26  22  15  8   6   14  10  8   145 355 55  6   15  28  7   0   
2023     01      14     01  7.0    988.0    1015.5    0.0    0.0    73.6    4.1    205.4    28  23  13  29  27  17  17  10  103 336 49  17  9   27  16  0   
2023     01      14     02  6.4    988.2    1015.7    0.0    0.0    75.4    4.2    210.9    22  28  12  14  14  13  8   14  87  381 58  13  14  30  13  0   
2023     01      14     03  6.1    987.8    1015.3    0.0    0.0    76.3    3.9    212.9    32  30  7   13  13  25  13  4   88  341 73  13  18  34  16  0   
2023     01      14     04  6.3    986.9    1014.4    0.0    0.0    76.1    3.2    208.9    23  41  24  12  18  25  8   7   91  275 102 21  20  27  27  0   
2023     01      14     05  6.3    985.9    1013.3    0.0    0.0    75.0    2.5    200.6    21  55  32  36  31  22  10  4   60  216 125 36  19  29  25  0   
2023     01      14     06  6.3    984.9    1012.3    0.0    0.0    72.7    2.6    197.1    28  66  32  45  39  26  8   8   44  200 121 26  23  33  22  0   
2023     01      14     07  6.6    983.7    1011.0    0.1    0.1    75.1    3.1    191.6    34  66  43  47  27  19  14  3   37  183 140 24  23  32  29  0   
2023     01      14     08  6.7    982.5    1009.8    0.0    0.0    80.4    2.8    192.2    30  63  40  39  43  17  11  8   45  199 120 27  19  30  29  0   
2023     01      14     09  7.6    980.9    1008.2    0.0    0.0    76.2    3.5    208.4    24  46  30  35  21  12  6   5   55  238 124 34  15  40  36  0   
2023     01      14     10  8.7    979.4    1006.6    0.0    0.0    73.2    3.9    199.3    34  63  34  34  19  20  8   3   57  221 107 31  20  36  34  0   
2023     01      14     11  8.8    978.4    1005.6    1.0    0.9    76.5    4.0    206.7    26  49  28  32  21  8   9   8   50  229 141 25  29  38  28  0   
2023     01      14     12  8.7    976.7    1003.9    1.1    1.1    80.2    4.0    207.5    35  56  29  28  26  14  8   2   36  229 119 36  25  34  43  0   
2023     01      14     13  9.2    974.9    1002.0    0.7    0.7    78.1    5.2    201.3    30  51  25  29  29  17  12  9   60  270 92  16  13  46  22  0   
2023     01      14     14  9.5    973.7    1000.8    1.1    1.1    78.7    5.0    206.9    29  47  17  18  27  16  15  8   74  263 94  29  21  35  28  0   
2023     01      14     15  9.9    972.5    999.5    0.0    0.0    77.2    5.3    199.8    32  43  20  25  35  24  14  11  86  273 82  11  14  32  19  0   
2023     01      14     16  10.1    971.8    998.8    0.8    0.8    77.1    5.9    208.6    30  49  21  20  17  13  4   4   94  285 76  13  18  47  30  0   
2023     01      14     17  10.1    971.3    998.3    0.2    0.2    78.2    5.5    203.1    31  60  16  15  33  11  14  6   72  276 89  18  17  39  23  0   
2023     01      14     18  10.5    971.2    998.2    0.1    0.1    78.9    5.9    209.4    23  46  12  20  16  18  4   4   81  339 55  19  17  35  32  0   
2023     01      14     19  10.8    970.9    997.9    0.2    0.2    79.4    6.2    206.5    25  40  18  8   25  13  8   7   103 359 50  9   11  27  18  0   
2023     01      14     20  10.7    970.6    997.6    1.4    1.3    82.0    5.2    204.5    32  43  15  9   23  25  8   3   78  352 61  14  11  30  17  0   
2023     01      14     21  10.4    971.4    998.4    3.2    3.3    83.8    4.4    198.0    30  42  25  25  36  23  16  12  123 253 38  11  25  42  20  0   
2023     01      14     22  9.3    972.2    999.2    1.8    1.8    81.8    4.4    198.2    32  46  26  22  27  23  14  13  132 261 38  12  18  33  23  0   
2023     01      14     23  7.6    972.5    999.5    2.0    2.0    76.4    4.8    188.9    40  44  28  35  38  42  20  12  121 216 30  17  28  33  17  0   
2023     01      15     00  6.2    973.1    1000.1    1.1    1.0    72.7    4.9    192.3    42  52  20  26  27  29  20  15  120 273 37  9   12  26  12  0   
2023     01      15     01  5.3    973.0    1000.1    0.4    0.4    76.5    4.5    209.6    24  28  6   8   17  20  11  10  117 345 72  11  11  22  19  0   
2023     01      15     02  5.8    972.7    999.7    0.0    0.0    71.0    4.5    202.9    15  34  21  23  25  25  9   12  127 326 42  13  7   30  12  0   
2023     01      15     03  5.6    972.9    999.9    0.0    0.0    73.5    4.5    212.5    24  28  14  7   15  10  9   6   79  406 58  7   10  27  21  0   
2023     01      15     04  5.5    972.7    999.7    0.0    0.0    73.8    4.1    207.5    23  27  10  13  26  17  17  12  112 336 68  9   6   24  21  0   
2023     01      15     05  5.5    972.7    999.7    0.0    0.0    74.0    5.0    213.9    11  24  10  9   3   10  13  12  97  409 69  11  5   24  13  0   
2023     01      15     06  5.4    972.8    999.8    0.1    0.0    75.5    4.4    206.7    21  35  17  19  23  17  12  5   82  358 63  11  10  27  21  0   
2023     01      15     07  5.2    973.0    1000.1    0.0    0.0    76.0    4.6    216.6    21  21  10  15  8   9   10  13  97  378 72  10  10  30  17  0   
2023     01      15     08  5.0    973.5    1000.6    0.0    0.0    74.0    4.8    212.0    24  30  9   13  13  8   17  8   100 377 57  10  13  25  17  0   
2023     01      15     09  5.2    974.3    1001.4    0.0    0.0    72.5    5.0    207.1    21  40  11  16  20  18  5   9   124 340 48  15  14  25  15  0   
2023     01      15     10  5.2    974.3    1001.4    0.0    0.0    71.3    5.1    210.5    18  32  14  15  15  18  18  14  83  359 50  8   16  29  31  0   
2023     01      15     11  5.4    974.6    1001.7    0.0    0.0    69.3    5.7    206.9    21  34  15  16  26  16  11  4   102 343 61  12  9   34  17  0   
2023     01      15     12  5.4    974.6    1001.7    0.0    0.0    68.2    5.7    207.7    32  31  20  19  14  10  8   8   123 324 66  12  13  28  13  0   
2023     01      15     13  5.8    974.3    1001.4    0.0    0.0    66.4    6.0    210.4    29  29  15  12  8   20  9   14  121 347 46  14  10  30  17  0   
2023     01      15     14  6.0    974.3    1001.4    0.0    0.0    64.2    6.0    206.9    32  42  15  10  15  16  6   7   122 330 55  11  13  28  18  0   
2023     01      15     15  5.9    974.8    1001.9    0.0    0.0    64.3    5.1    203.2    24  37  25  17  24  15  11  11  109 319 58  11  12  33  15  0   
2023     01      15     16  5.9    974.8    1001.9    0.0    0.0    65.4    5.2    203.5    24  36  15  15  24  25  5   14  106 324 62  9   15  34  13  0   
2023     01      15     17  5.8    974.6    1001.7    0.0    0.0    66.9    5.8    209.3    21  41  11  17  10  13  10  4   82  379 56  14  14  28  21  0   
2023     01      15     18  5.4    974.5    1001.6    0.0    0.0    69.9    5.2    211.8    33  35  8   10  12  14  7   9   100 364 61  13  9   34  12  0   
2023     01      15     19  5.4    973.9    1001.0    0.0    0.0    67.6    5.0    214.7    31  35  6   6   17  11  6   9   83  386 65  10  16  25  14  0   
2023     01      15     20  5.5    973.2    1000.3    0.0    0.0    68.5    4.7    200.0    18  42  23  15  25  24  15  9   138 289 53  15  13  26  16  0   
2023     01      15     21  5.2    972.6    999.7    0.4    0.3    72.3    3.6    200.5    28  49  26  37  24  22  10  19  76  231 97  24  19  44  15  0   
2023     01      15     22  4.9    971.8    998.8    0.1    0.1    75.7    3.6    210.5    30  47  15  22  15  24  7   8   61  281 111 25  22  32  21  0   
2023     01      15     23  4.8    971.0    998.0    0.6    0.6    76.6    4.0    203.6    24  37  22  22  30  20  12  7   94  287 83  21  14  21  27  0   
2023     01      16     00  4.8    970.1    997.1    0.0    0.0    76.6    4.5    206.1    21  39  17  16  8   15  12  6   88  349 77  11  13  35  13  0   
2023     01      16     01  4.5    969.3    996.2    0.0    0.0    76.8    3.8    208.3    24  30  13  15  19  20  10  11  100 339 71  10  12  31  16  0   
2023     01      16     02  4.3    968.0    994.9    0.0    0.0    77.3    2.7    188.4    32  74  36  47  32  17  10  1   48  214 107 20  10  47  25  0   
2023     01      16     03  4.1    966.5    993.4    0.0    0.0    77.1    2.1    195.0    38  56  48  49  32  18  4   3   37  188 133 38  17  32  28  0   
2023     01      16     04  4.3    964.5    991.3    0.0    0.0    74.3    1.7    197.9    37  67  46  37  28  23  11  7   30  148 140 52  25  36  34  0   
2023     01      16     05  4.8    962.4    989.2    0.0    0.0    72.4    1.9    200.4    33  49  33  43  40  29  18  6   42  147 148 41  30  32  30  0   
2023     01      16     06  5.2    960.3    987.0    0.0    0.0    70.5    2.1    186.2    55  77  23  29  40  69  47  13  38  89  104 38  41  30  28  0   
2023     01      16     07  5.2    958.5    985.1    0.2    0.2    70.9    2.1    155.3    37  70  27  64  120 119 62  19  27  38  43  18  20  33  23  0   
2023     01      16     08  4.5    956.8    983.4    0.0    0.0    73.3    2.6    154.5    48  66  23  74  105 131 65  15  30  48  34  19  17  25  21  0   
2023     01      16     09  4.3    955.4    981.9    0.0    0.0    71.8    2.7    186.2    40  70  31  36  43  62  50  15  46  96  111 36  23  31  31  0   
2023     01      16     10  4.6    954.4    980.9    0.0    0.0    69.7    2.5    195.9    38  64  29  34  36  35  31  10  33  129 141 40  20  39  42  0   
2023     01      16     11  5.3    953.3    979.8    0.0    0.0    68.7    2.6    194.2    50  64  42  34  36  24  26  5   26  158 131 41  26  29  29  0   
2023     01      16     12  5.7    952.0    978.5    0.0    0.0    67.8    2.7    198.7    41  53  32  38  30  38  22  4   28  145 147 45  24  43  30  0   
2023     01      16     13  5.2    950.8    977.2    0.3    0.3    71.8    2.5    189.4    54  70  38  30  28  39  30  15  36  137 113 38  23  36  34  0   
2023     01      16     14  5.1    949.9    976.3    0.3    0.3    72.9    2.3    198.9    39  66  30  39  27  30  19  2   34  133 151 53  24  37  37  0   
2023     01      16     15  4.4    949.5    975.9    0.2    0.1    79.4    1.5    195.7    44  58  18  35  28  43  30  9   44  166 125 45  23  37  16  0   
2023     01      16     16  4.5    949.4    975.8    0.0    0.0    79.2    2.4    202.4    33  44  20  32  24  25  10  6   72  216 124 41  16  32  25  0   
2023     01      16     17  4.4    949.6    976.0    0.1    0.1    79.8    3.2    204.6    29  41  10  20  15  21  16  13  110 323 52  13  12  29  17  0   
2023     01      16     18  3.8    950.0    976.4    0.7    0.6    82.8    4.0    205.1    32  31  14  23  14  13  19  5   99  364 53  6   12  16  20  0   
2023     01      16     19  2.8    951.3    977.7    0.9    0.9    85.2    4.0    196.3    47  54  18  45  36  31  31  9   112 136 51  37  29  58  27  0   
2023     01      16     20  2.8    952.9    979.4    0.1    0.1    85.6    3.9    196.3    52  62  19  30  45  37  27  16  92  133 53  30  29  59  37  0   
2023     01      16     21  2.6    954.0    980.5    0.1    0.1    84.7    4.1    179.1    45  55  30  54  59  40  18  14  119 156 28  15  27  43  17  0   
2023     01      16     22  2.0    954.9    981.5    0.6    0.6    85.3    5.4    205.7    29  36  9   13  24  16  15  12  146 326 36  6   11  29  13  0   
2023     01      16     23  1.8    955.8    982.4    0.5    0.5    84.5    5.2    190.2    24  44  31  39  47  32  14  9   129 248 33  16  14  26  15  0   
2023     01      17     00  2.0    956.8    983.4    0.1    0.0    84.5    4.5    184.6    45  55  24  43  56  41  25  23  117 170 26  14  25  36  20  0   
2023     01      17     01  1.8    957.7    984.3    0.0    0.0    84.0    3.5    182.0    47  54  19  53  54  41  16  20  126 149 43  16  23  41  19  0   
2023     01      17     02  1.5    958.5    985.2    0.0    0.0    83.6    3.6    189.5    31  55  20  37  39  35  10  18  135 224 36  15  16  33  17  0   
2023     01      17     03  1.4    959.1    985.8    0.0    0.0    80.6    3.9    193.6    28  36  29  44  29  21  11  10  130 269 43  15  14  34  8   0   
2023     01      17     04  1.2    959.3    986.0    0.0    0.0    78.2    4.1    203.8    31  32  14  16  16  12  15  10  114 356 64  7   8   12  13  0   
2023     01      17     05  1.0    959.4    986.1    0.0    0.0    77.0    3.8    207.6    28  19  19  17  10  19  9   12  135 352 39  12  18  23  9   0   
2023     01      17     06  0.8    959.6    986.3    0.0    0.0    77.2    2.4    198.2    23  36  23  30  29  18  9   16  122 297 48  17  11  31  11  0   
2023     01      17     07  0.4    959.6    986.3    0.0    0.0    76.9    2.7    216.0    22  20  6   4   3   8   5   8   108 432 57  17  7   14  10  0   
2023     01      17     08  0.1    959.8    986.5    0.0    0.0    78.9    1.2    197.5    19  40  19  32  51  30  17  14  86  198 117 42  22  22  12  0   
2023     01      17     09  0.7    960.0    986.7    0.0    0.0    77.9    0.8    200.0    23  65  36  36  21  14  15  17  39  167 147 54  32  35  19  0   
2023     01      17     10  1.7    960.1    986.8    0.0    0.0    71.2    1.1    190.5    13  42  34  48  43  21  19  16  106 236 71  26  19  21  6   0   
2023     01      17     11  2.1    960.3    987.0    0.0    0.0    66.7    1.4    209.0    21  34  12  18  20  20  13  11  85  313 99  24  15  22  14  0   
2023     01      17     12  3.1    959.9    986.6    0.0    0.0    60.3    0.6    203.6    27  47  25  69  38  34  18  26  72  66  74  60  63  67  35  0   
2023     01      17     13  2.9    959.5    986.2    0.0    0.0    58.1    0.7    163.0    34  98  99  73  63  31  20  19  52  58  34  25  28  25  62  0   
2023     01      17     14  3.3    959.4    986.1    0.0    0.0    52.1    1.7    117.5    5   13  51  169 285 120 26  3   16  3   3   12  5   3   6   0   
2023     01      17     15  3.2    959.3    986.0    0.0    0.0    52.1    2.2    106.1    1   4   43  213 382 69  8   1   0   0   0   0   0   0   0   0   
2023     01      17     16  2.6    959.5    986.2    0.0    0.0    61.8    2.4    81.5    0   57  297 252 91  20  2   2   0   0   0   0   0   0   0   0   
2023     01      17     17  1.7    959.9    986.6    0.0    0.0    68.1    1.6    72.7    1   120 352 208 35  4   1   0   0   0   0   0   0   0   0   0   
2023     01      17     18  1.1    960.5    987.2    0.0    0.0    73.5    1.0    74.8    0   141 310 191 56  10  3   4   4   0   0   0   1   0   0   0   
2023     01      17     19  0.8    961.0    987.7    0.0    0.0    74.4    0.5    74.1    1   201 270 145 67  2   35  0   0   0   0   0   0   0   0   0   
2023     01      17     20  0.3    961.5    988.2    0.0    0.0    75.9    0.4    158.1    0   195 111 68  2   0   0   0   3   34  147 75  40  46  0   0   
2023     01      17     21  -0.2    962.0    988.7    0.0    0.0    78.3    0.6    245.3    0   0   0   0   0   0   0   0   5   271 313 100 23  8   1   0   
2023     01      17     22  -0.5    962.4    989.2    0.0    0.0    79.7    0.5    254.6    0   0   0   1   0   0   0   5   3   158 265 181 87  19  2   0   
2023     01      17     23  -0.6    962.6    989.4    0.0    0.0    79.3    0.5    258.7    0   0   0   0   0   0   0   0   3   121 287 175 91  36  7   0   
2023     01      18     00  -0.9    962.8    989.6    0.0    0.0    80.4    0.5    246.6    0   0   0   0   0   0   0   0   13  271 228 167 42  0   0   0   
2023     01      18     01  -1.0    963.0    989.8    0.0    0.0    80.8    0.6    232.2    1   2   0   0   0   0   14  25  61  358 167 66  22  5   0   0   
2023     01      18     02  -1.0    963.3    990.1    0.0    0.0    79.8    0.6    231.8    8   8   0   0   3   7   6   5   58  364 192 33  18  13  5   0   
2023     01      18     03  -1.3    963.6    990.4    0.0    0.0    80.1    0.6    227.2    18  23  17  13  13  17  13  27  68  149 163 83  42  49  26  0   
2023     01      18     04  -1.1    964.1    990.9    0.0    0.0    76.7    0.7    232.3    8   15  13  16  6   7   9   9   68  191 188 80  55  47  9   0   
2023     01      18     05  -1.3    964.5    991.3    0.0    0.0    76.1    1.1    226.3    10  21  4   1   2   16  9   11  53  341 152 52  19  22  8   0   
2023     01      18     06  -1.3    965.2    992.0    0.0    0.0    76.0    1.5    226.2    6   3   1   0   3   0   2   2   53  496 122 20  6   3   3   0   
2023     01      18     07  -1.3    965.9    992.8    0.0    0.0    74.7    2.1    225.8    3   1   0   0   2   0   2   3   69  568 60  5   4   4   0   0   
2023     01      18     08  -1.5    966.7    993.6    0.0    0.0    75.4    1.4    210.1    17  19  7   21  17  12  6   18  141 342 64  13  15  23  6   0   
2023     01      18     09  -1.2    967.5    994.4    0.0    0.0    74.8    1.8    212.6    27  21  8   8   7   4   6   14  181 334 52  14  6   29  10  0   
2023     01      18     10  -0.2    968.3    995.2    0.0    0.0    71.5    2.0    217.8    23  15  10  9   11  9   7   19  125 341 68  20  18  35  11  0   
2023     01      18     11  0.9    968.8    995.7    0.0    0.0    68.2    2.8    210.2    14  24  18  14  11  14  8   16  107 358 74  17  13  24  8   0   
2023     01      18     12  1.6    969.1    996.0    0.0    0.0    68.0    2.8    206.7    21  42  18  22  19  13  18  6   92  302 86  14  12  38  18  0   
2023     01      18     13  2.0    969.3    996.2    0.0    0.0    68.4    3.3    203.1    24  30  20  30  18  27  11  13  120 310 52  12  15  24  15  0   
2023     01      18     14  2.5    969.6    996.6    0.0    0.0    65.8    3.5    204.9    19  40  12  22  19  14  13  8   97  351 70  8   10  23  15  0   
2023     01      18     15  2.4    970.2    997.2    0.0    0.0    66.1    3.2    213.3    12  22  14  9   19  18  12  6   94  375 66  21  15  24  13  0   
2023     01      18     16  2.3    970.7    997.7    0.0    0.0    64.7    2.8    208.7    20  24  18  14  23  18  14  14  100 359 60  11  12  24  10  0   
2023     01      18     17  1.5    971.2    998.2    0.0    0.0    67.9    2.0    209.1    36  41  22  23  27  23  13  11  59  221 120 48  27  30  20  0   
2023     01      18     18  1.2    971.5    998.5    0.0    0.0    68.7    3.1    208.3    24  29  7   18  21  26  15  16  138 264 82  13  19  26  23  0   
2023     01      18     19  1.1    972.1    999.1    0.0    0.0    70.1    4.2    210.9    22  24  9   13  8   19  9   6   98  396 67  12  8   20  10  0   
2023     01      18     20  1.1    972.7    999.8    0.0    0.0    72.1    4.5    212.9    23  26  8   14  13  13  6   6   81  403 70  9   16  21  11  0   
2023     01      18     21  1.2    973.2    1000.3    0.0    0.0    74.5    4.2    208.7    23  27  9   16  14  21  14  4   99  367 66  12  8   28  13  0   
2023     01      18     22  1.2    973.7    1000.8    0.0    0.0    76.7    4.2    208.1    12  27  15  23  24  11  11  8   100 373 56  12  11  27  11  0   
2023     01      18     23  1.1    974.0    1001.1    0.0    0.0    77.8    4.5    213.5    20  28  14  10  14  7   14  9   95  388 55  6   9   37  15  0   
2023     01      19     00  1.0    974.5    1001.6    0.0    0.0    78.5    4.2    206.7    18  37  10  22  22  13  13  7   102 350 62  11  7   28  18  0   
2023     01      19     01  1.1    974.5    1001.6    0.0    0.0    77.7    4.2    211.8    22  29  9   10  13  12  5   13  118 366 50  15  14  33  12  0   
2023     01      19     02  1.0    974.8    1001.9    0.0    0.0    78.4    4.2    216.8    21  22  5   8   11  11  13  7   106 389 58  15  13  28  14  0   
2023     01      19     03  0.8    974.9    1002.0    0.0    0.0    78.7    3.6    206.2    27  36  13  27  18  21  17  9   100 317 59  12  11  36  18  0   
2023     01      19     04  0.9    975.0    1002.1    0.0    0.0    77.7    4.2    214.6    18  20  12  6   9   13  5   7   102 394 87  7   9   24  7   0   
2023     01      19     05  1.1    975.0    1002.1    0.0    0.0    77.1    4.7    207.3    24  33  10  11  20  9   12  15  103 365 65  6   11  27  10  0   
2023     01      19     06  1.0    975.5    1002.6    0.0    0.0    80.2    3.9    208.3    26  30  20  19  11  20  13  15  123 305 50  15  21  35  18  0   
2023     01      19     07  0.9    975.8    1002.9    0.0    0.0    83.2    4.2    202.2    27  32  17  14  20  16  9   10  123 348 55  5   11  23  11  0   
2023     01      19     08  0.8    976.8    1004.0    0.0    0.0    84.6    2.6    194.6    26  50  21  26  32  14  23  18  129 241 60  23  12  30  15  0   
2023     01      19     09  1.1    977.2    1004.4    0.0    0.0    83.6    3.5    210.4    19  32  10  15  12  10  10  13  141 333 55  13  12  27  19  0   
2023     01      19     10  1.4    977.7    1004.9    0.0    0.0    82.5    3.3    203.8    34  41  19  19  22  14  7   7   108 316 66  15  8   30  15  0   
2023     01      19     11  1.6    978.2    1005.4    0.0    0.0    81.6    3.2    203.7    28  38  12  23  12  19  14  9   120 346 46  10  9   21  14  0   
2023     01      19     12  1.6    978.3    1005.5    0.1    0.1    81.0    3.2    218.3    24  23  8   4   5   10  7   14  106 391 69  10  11  21  18  0   
2023     01      19     13  1.7    978.2    1005.4    0.0    0.0    79.9    3.0    199.5    20  33  25  34  19  18  15  10  124 301 60  15  6   31  9   0   
2023     01      19     14  2.0    978.2    1005.4    0.0    0.0    76.4    2.7    186.2    35  50  40  39  31  37  24  15  92  236 51  18  16  23  14  0   
2023     01      19     15  1.9    978.5    1005.7    0.0    0.0    76.3    2.7    203.8    32  26  25  19  22  30  17  11  103 300 64  11  17  32  12  0   
2023     01      19     16  1.9    978.6    1005.8    0.0    0.0    72.1    1.8    204.1    23  39  21  47  16  27  11  4   55  230 138 37  25  30  18  0   
2023     01      19     17  1.9    979.0    1006.2    0.0    0.0    71.1    1.5    189.7    39  40  30  54  41  29  19  17  88  193 90  24  21  22  13  0   
2023     01      19     18  2.0    979.4    1006.6    0.0    0.0    71.1    2.2    208.4    28  32  6   10  18  14  16  23  146 294 56  14  18  32  14  0   
2023     01      19     19  1.9    979.7    1006.9    0.0    0.0    71.7    1.9    189.4    31  37  20  36  31  41  40  21  116 237 47  12  13  29  10  0   
2023     01      19     20  1.6    980.1    1007.4    0.0    0.0    75.0    1.2    209.5    27  33  24  31  32  26  27  27  96  141 58  50  63  58  28  0   
2023     01      19     21  1.4    980.5    1007.8    0.0    0.0    76.8    2.7    214.7    16  19  6   9   10  9   6   12  98  417 68  16  13  15  7   0   
2023     01      19     22  1.1    981.3    1008.6    0.0    0.0    77.7    2.0    207.2    24  33  15  11  15  10  12  15  130 328 68  8   14  26  11  0   
2023     01      19     23  0.9    981.8    1009.1    0.0    0.0    79.2    2.1    199.9    29  31  15  26  20  24  15  11  132 308 49  19  11  26  5   0   
2023     01      20     00  0.7    982.2    1009.5    0.0    0.0    80.0    2.4    215.2    17  23  5   6   5   7   15  18  129 380 58  11  10  25  11  0   
2023     01      20     01  0.5    982.5    1009.8    0.0    0.0    80.9    2.5    214.3    17  14  5   10  10  11  12  12  148 366 66  9   7   27  7   0   
2023     01      20     02  0.4    983.0    1010.3    0.0    0.0    81.7    2.9    208.4    17  18  8   16  4   14  23  15  145 370 41  4   12  25  9   0   
2023     01      20     03  0.3    983.4    1010.7    0.0    0.0    82.0    2.6    211.2    25  27  5   2   10  18  11  14  177 323 46  7   10  33  13  0   
2023     01      20     04  0.3    983.5    1010.9    0.0    0.0    82.0    2.9    213.3    15  22  8   1   8   9   12  16  115 411 60  6   4   23  11  0   
2023     01      20     05  0.3    983.8    1011.2    0.0    0.0    82.2    3.2    211.5    18  20  8   11  10  18  9   7   126 381 49  18  9   21  15  0   
2023     01      20     06  0.2    984.2    1011.6    0.0    0.0    83.0    3.5    214.7    20  18  9   10  5   5   9   10  121 416 49  11  5   23  10  0   
2023     01      20     07  0.1    984.7    1012.1    0.0    0.0    82.1    3.3    208.3    25  27  9   14  15  11  11  11  125 367 46  16  12  23  9   0   
2023     01      20     08  0.1    985.1    1012.5    0.0    0.0    81.5    2.6    191.8    30  47  15  33  46  30  22  12  101 239 59  25  14  36  12  0   
2023     01      20     09  0.3    985.6    1013.0    0.0    0.0    81.0    2.0    199.1    31  59  26  32  30  16  17  12  60  209 124 37  15  28  25  0   
2023     01      20     10  0.6    985.8    1013.2    0.0    0.0    79.1    2.0    196.2    32  68  23  32  35  15  13  7   64  197 128 38  29  19  20  0   
2023     01      20     11  0.1    985.5    1012.9    0.0    0.0    85.5    2.3    204.4    22  40  29  38  26  20  10  5   50  240 136 21  28  35  21  0   
2023     01      20     12  0.1    985.2    1012.6    0.0    0.0    87.2    2.6    200.8    32  43  18  40  35  20  8   8   48  269 112 21  18  29  20  0   
2023     01      20     13  0.3    985.0    1012.4    0.0    0.0    88.1    2.5    200.2    21  43  23  25  24  30  11  9   107 270 74  14  18  34  18  0   
2023     01      20     14  0.6    985.1    1012.5    0.0    0.0    88.5    2.1    195.8    29  44  34  44  19  23  17  8   78  241 68  41  23  38  14  0   
2023     01      20     15  0.6    985.7    1013.1    0.0    0.0    88.6    1.7    273.4    16  26  6   5   3   1   2   5   23  49  58  84  139 230 73  0   
2023     01      20     16  0.7    986.4    1013.8    0.0    0.0    88.7    1.2    222.9    32  45  26  30  18  9   6   8   70  98  85  95  95  73  31  0   
2023     01      20     17  0.7    987.1    1014.6    0.0    0.0    88.7    0.9    182.0    45  98  105 72  5   10  6   3   11  37  64  62  75  71  57  0   
2023     01      20     18  0.5    987.8    1015.3    0.0    0.0    88.8    1.9    85.5    1   39  183 402 88  5   1   0   0   0   1   0   0   1   0   0   
2023     01      20     19  0.4    988.7    1016.2    0.0    0.0    88.8    3.4    99.6    1   10  46  352 277 28  2   1   0   0   0   0   0   0   3   0   
2023     01      20     20  -0.1    989.5    1017.0    0.0    0.0    87.3    4.6    87.7    3   4   148 488 68  8   1   1   0   0   0   0   0   0   0   0   
