#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      02     17  8.9    992.5    1020.1    0.0    0.0    80.9    3.9    195.9    32  32  23  30  28  15  4   12  111 333 47  14  9   21  9   0   
2023     01      02     18  8.7    993.4    1021.0    0.0    0.0    77.6    3.6    198.7    28  36  30  23  20  20  9   17  131 291 38  16  14  33  15  0   
2023     01      02     19  8.4    994.2    1021.8    0.0    0.0    78.8    3.5    209.3    25  24  9   14  18  17  11  10  132 335 59  10  14  28  15  0   
2023     01      02     20  8.2    995.1    1022.8    0.0    0.0    77.1    3.9    206.7    25  31  6   9   20  21  13  16  129 337 49  10  10  33  12  0   
2023     01      02     21  7.8    995.9    1023.6    0.0    0.0    77.5    3.9    208.3    21  33  12  14  6   14  11  11  142 344 48  7   12  31  15  0   
2023     01      02     22  7.8    996.5    1024.2    0.0    0.0    77.4    3.8    209.9    34  29  7   12  9   11  8   7   146 363 31  5   16  31  11  0   
2023     01      02     23  7.7    996.9    1024.6    0.0    0.0    78.2    3.7    207.6    22  24  12  11  12  16  13  11  125 398 34  10  7   20  6   0   
2023     01      03     00  7.1    997.2    1024.9    0.0    0.0    80.4    3.1    195.0    33  49  29  21  29  27  12  18  140 247 34  12  19  32  18  0   
2023     01      03     01  6.6    997.5    1025.2    0.0    0.0    81.5    3.2    206.6    25  18  12  9   12  8   13  15  187 338 42  5   10  19  8   0   
2023     01      03     02  6.1    998.1    1025.9    0.0    0.0    82.7    2.8    214.9    17  16  6   1   6   14  13  8   116 417 66  6   7   19  9   0   
2023     01      03     03  6.0    998.4    1026.2    0.0    0.0    82.7    2.0    197.1    24  39  16  25  34  22  18  27  143 244 52  15  18  35  9   0   
2023     01      03     04  6.3    998.3    1026.1    0.0    0.0    81.1    1.5    200.1    23  43  25  33  39  19  11  16  100 197 110 29  35  27  14  0   
2023     01      03     05  6.4    998.3    1026.1    0.0    0.0    78.7    1.4    189.6    31  58  38  61  36  23  16  6   46  157 129 43  22  34  20  0   
2023     01      03     06  5.9    998.1    1025.9    0.0    0.0    78.6    1.5    190.4    31  77  41  33  32  25  10  9   36  170 144 37  29  29  18  0   
2023     01      03     07  6.1    998.1    1025.9    0.0    0.0    78.5    1.8    203.4    27  49  36  45  36  23  13  1   19  176 158 48  21  36  33  0   
2023     01      03     08  6.4    998.2    1026.0    0.0    0.0    78.1    2.2    202.2    32  58  28  32  21  15  5   5   42  213 157 34  22  32  25  0   
2023     01      03     09  7.0    998.7    1026.5    0.0    0.0    77.3    2.5    205.2    29  41  28  39  25  17  10  9   40  231 149 33  20  32  18  0   
